Entity,Code,Year,Unemployment rate
Latvia,LVA,2025,6.568
Lebanon,LBN,2025,10.985
Lesotho,LSO,2025,16.315
Liberia,LBR,2025,2.884
Libya,LBY,2025,18.758
Lithuania,LTU,2025,6.731
Luxembourg,LUX,2025,6.343
Madagascar,MDG,2025,3.041
Malawi,MWI,2025,5.072
Malaysia,MYS,2025,3.764
Maldives,MDV,2025,4.514
Mali,MLI,2025,2.831
Malta,MLT,2025,2.896
Mauritania,MRT,2025,10.319
Mauritius,MUS,2025,5.635
Mexico,MEX,2025,2.673
Moldova,MDA,2025,1.505
Mongolia,MNG,2025,5.233
Montenegro,MNE,2025,13.572
Morocco,MAR,2025,9
Mozambique,MOZ,2025,6.628
Myanmar,MMR,2025,3.047
Namibia,NAM,2025,19.291
Nepal,NPL,2025,10.465
Netherlands,NLD,2025,3.874
New Caledonia,NCL,2025,11.174
New Zealand,NZL,2025,5.076
Nicaragua,NIC,2025,5.04
Niger,NER,2025,0.394
Nigeria,NGA,2025,3.064
North Korea,PRK,2025,3.545
North Macedonia,MKD,2025,12.256
Norway,NOR,2025,4.637
Oman,OMN,2025,3.251
Pakistan,PAK,2025,5.42
Palestine,PSE,2025,24.42
Panama,PAN,2025,8.36
Papua New Guinea,PNG,2025,2.571
Paraguay,PRY,2025,4.803
Peru,PER,2025,5.117
Philippines,PHL,2025,2.235
Poland,POL,2025,2.976
Portugal,PRT,2025,6.164
Puerto Rico,PRI,2025,5.991
Qatar,QAT,2025,0.13
Romania,ROU,2025,5.992
Russia,RUS,2025,2.133
Rwanda,RWA,2025,11.363
Saint Lucia,LCA,2025,9.452
Saint Vincent and the Grenadines,VCT,2025,18.003
Samoa,WSM,2025,4.996
Sao Tome and Principe,STP,2025,9.132
Saudi Arabia,SAU,2025,3.038
Senegal,SEN,2025,2.735
Serbia,SRB,2025,7.123
Sierra Leone,SLE,2025,3.15
Singapore,SGP,2025,2.818
Slovakia,SVK,2025,5.359
Slovenia,SVN,2025,3.175
Solomon Islands,SLB,2025,1.431
Somalia,SOM,2025,18.948
South Africa,ZAF,2025,32.391
South Korea,KOR,2025,2.683
South Sudan,SSD,2025,12.374,2023
Spain,ESP,2025,10.376
Sri Lanka,LKA,2025,4.005
Sudan,SDN,2025,7.53,2022
Suriname,SUR,2025,7.834
Sweden,SWE,2025,8.694
Switzerland,CHE,2025,4.873
Syria,SYR,2025,13.569
Tajikistan,TJK,2025,6.931
Tanzania,TZA,2025,1.572
Thailand,THA,2025,0.781
Togo,TGO,2025,1.995
Tonga,TON,2025,2.008
Trinidad and Tobago,TTO,2025,3.329
Tunisia,TUN,2025,15.108
Turkey,TUR,2025,8.52
Turkmenistan,TKM,2025,4.267
Uganda,UGA,2025,2.746
Ukraine,UKR,2025,9.834,2021
United Arab Emirates,ARE,2025,2.174
United Kingdom,GBR,2025,4.746
United States of America,USA,2025,4.198
Uruguay,URY,2025,7.516
Uzbekistan,UZB,2025,4.622
Vanuatu,VUT,2025,5.073
Venezuela,VEN,2025,5.307
Vietnam,VNM,2025,1.523
Yemen,YEM,2025,17.322
Zambia,ZMB,2025,5.918
Zimbabwe,ZWE,2025,9.293
